title,address,url,area,price,distance(km),area_std,price_std,distance_std,max area,20
金山街後段美套房小資首選,東區-金山二十八街,https://rent.591.com.tw/18702879,8,9500,4.3,0.25,0.2619,0.3033,,
竹科金山街近台積電/陽台洗衣機限園區上班,東區-金山二街,https://rent.591.com.tw/18702883,8,11000,3.5,0.25,0.3333,0.2377,,
竹科金山街近台積電/陽台洗衣機限園區上班,東區-金山街,https://rent.591.com.tw/18702883,8,11500,3.7,0.25,0.3571,0.2541,,
金山街陽台洗衣機優美套房限園區上班,東區-金山二十五街,https://rent.591.com.tw/18702892,10,11500,4.1,0.375,0.3571,0.2869,,
金山街陽台洗衣機優美套房限園區上班,東區-金山二十二街,https://rent.591.com.tw/18702892,12,13000,4.1,0.5,0.4286,0.2869,,
金山街後段陽台洗衣機小資首選採光好,東區-金山街,https://rent.591.com.tw/18702902,8,8500,3.7,0.25,0.2143,0.2541,,
金山街後段陽台洗衣機小資首選採光好,東區-金山街,https://rent.591.com.tw/18702902,8,8500,4.4,0.25,0.2143,0.3115,,
竹科園區金山街系統家具乾溼分離陽台洗衣機,東區-金山十三街,https://rent.591.com.tw/18702913,10,13000,3.5,0.375,0.4286,0.2377,,
金山街前段系統家具流理台陽台洗衣機,東區-金山九街,https://rent.591.com.tw/18702917,7,12000,3.4,0.1875,0.3810,0.2295,,
金山街分離式冷氣新套房小資首選僅此一間,東區-金山二十三街50巷,https://rent.591.com.tw/18702924,7,8000,4.2,0.1875,0.1905,0.2951,,
高翠路近竹科系統傢俱陽台洗衣機,東區-高翠路327巷8弄,https://rent.591.com.tw/18702939,7,11500,2.1,0.1875,0.3571,0.1230,,
金山街近竹科陽台洗衣機,東區-金山十八街,https://rent.591.com.tw/18702943,7,8500,4.3,0.1875,0.2143,0.3033,,
全新傢俱超高cp值近竹科園區前段電梯套房,東區-金山北一街,https://rent.591.com.tw/18702965,7,8000,3.7,0.1875,0.1905,0.2541,,
大學路近竹科園區高質感套房洗衣機可養貓,東區-大學路51巷,https://rent.591.com.tw/18702968,10,13000,1.7,0.375,0.4286,0.0902,,
金山街前段高CP值小資首選採光好套房,東區-金山街,https://rent.591.com.tw/18703001,7,7500,4.4,0.1875,0.1667,0.3115,,
金山街僅此一間可貓小資首選優質套房,東區-金山北一街,https://rent.591.com.tw/18703034,9,10000,3.7,0.3125,0.2857,0.2541,,
金山街陽台洗衣機流理台優美套房限園區上班,東區-金山二十七街,https://rent.591.com.tw/18703046,8,12000,4.4,0.25,0.3810,0.3115,,
"近竹科,可租補報稅!台電計價",東區-明湖路,https://rent.591.com.tw/18704770,8,13500,4.3,0.25,0.4524,0.3033,,
"近竹科,可租補報稅!台電計價",東區-明湖路1008巷,https://rent.591.com.tw/18704770,17,18000,4.5,0.8125,0.6667,0.3197,,
社會住宅可租補-近中華大學、優質大套房,香山區-至善街31巷,https://rent.591.com.tw/18706433,7.6,7500,8.4,0.225,0.1667,0.6393,,
社會住宅可租補-近馬偕醫院、忠孝大潤發,東區-光復路二段,https://rent.591.com.tw/18706462,7.3,9500,4.6,0.20625,0.2619,0.3279,,
"竹科首選,環境生活品質第一讚哪裡找!",香山區-新香街,https://rent.591.com.tw/18706686,9,7000,6.8,0.3125,0.1429,0.5082,,
近清大交大竹科有大陽台的大套房,東區-寶山路452巷3弄,https://rent.591.com.tw/18708913,10,14000,0.6,0.375,0.4762,0.0000,,
獨立漂亮套房地點佳，採光好，目質地板,北區-林森路333巷3弄3號,https://rent.591.com.tw/18709849,8,7000,4.2,0.25,0.1429,0.2951,,
清華大學旁漂亮套房(科學園區十分鐘),東區-明湖路213巷,https://rent.591.com.tw/18710760,6,6000,3.3,0.125,0.0952,0.2213,,
陸樓_一分鐘進清大交大竹科衛浴對外窗,東區-高翠路9巷2弄,https://rent.591.com.tw/18713512,6,7500,0.95,0.125,0.1667,0.0287,,
D老爺推薦x全新簡約套房X室內機車位,東區-光復路一段595號,https://rent.591.com.tw/18713687,8,10000,2.5,0.25,0.2857,0.1557,,
全新交屋寓見愛高樓層景觀戶,東區-經國路二段,https://rent.591.com.tw/18715328,11,14000,5.1,0.4375,0.4762,0.3689,,
生活機能高近大潤發馬偕中山高,東區-東勝路38號,https://rent.591.com.tw/18715377,8,8000,4.4,0.25,0.1905,0.3115,,
經國路新穎套房///,北區-經國路二段248巷,https://rent.591.com.tw/18715942,5,11000,5,0.0625,0.3333,0.3607,,
§近園區簡約風獨立套房附車位§,東區-明湖路,https://rent.591.com.tw/18716147,10,16000,4.3,0.375,0.5714,0.3033,,
近市區馬偕忠孝大潤發套房,東區-忠孝路434巷,https://rent.591.com.tw/18716449,6.5,8000,4.3,0.15625,0.1905,0.3033,,
📍新竹市區延平路可乖寵多間出租套房,北區-延平路一段214巷1弄,https://rent.591.com.tw/18716946,6,8000,6,0.125,0.1905,0.4426,,
📍近金山街、園區寵物友善單人套房,東區-光復路一段89巷,https://rent.591.com.tw/18716948,6,7000,4.1,0.125,0.1429,0.2869,,
森之妍～近園區大套房含平面車位+管理費（可租補）,東區-明湖路1200巷47號,https://rent.591.com.tw/18718196,12,18500,4.1,0.5,0.6905,0.2869,,
💥錢櫃旁大套房出租近城隍廟遠百巨城💥,北區-北大路262號,https://rent.591.com.tw/18718419,5,7500,4.6,0.0625,0.1667,0.3279,,
清大～走路8分鐘.大門磁扣密碼鎖.廚房水波爐.可報租補-禁菸,東區-建功一路104巷,https://rent.591.com.tw/18719771,5,6500,3.5,0.0625,0.1190,0.2377,,
全整整理首租電梯套房/有獨立洗衣機,東區-金山二十六街,https://rent.591.com.tw/18720035,8,11000,4.1,0.25,0.3333,0.2869,,
園區套房出租,東區-高峰路,https://rent.591.com.tw/18720116,8,12000,2.8,0.25,0.3810,0.1803,,
獨立套房、雙人人掀床、附洗衣機、好停車、禁寵菸,香山區-至善街37巷,https://rent.591.com.tw/18720229,6,6500,8.6,0.125,0.1190,0.6557,,
新竹市高翠路套房,東區-高翠路277巷2弄,https://rent.591.com.tw/18720889,6,9000,1.9,0.125,0.2381,0.1066,,
近大潤發商圈．裝潢新．獨洗陽台．含網四水,北區-東大路二段,https://rent.591.com.tw/18721336,7,10000,6.2,0.1875,0.2857,0.4590,,
園區後花園｜高質感2房｜可租車位,東區-明湖路482巷65弄,https://rent.591.com.tw/18721993,12,18000,4.7,0.5,0.6667,0.3361,,
三廠經國～精簡便宜套房～,北區-經國路二段620巷5弄,https://rent.591.com.tw/18722045,6,6000,5.3,0.125,0.0952,0.3852,,
最愛大樓一室,北區-經國路二段,https://rent.591.com.tw/18722077,7.3,8000,5.2,0.20625,0.1905,0.3770,,
金山街中段園區套房、房大便利、優質、安靜,東區-金山北二街,https://rent.591.com.tw/18722100,6,6000,3.7,0.125,0.0952,0.2541,,
大遠百旁｜嶄新電梯套房｜台水.電計費,東區-南外街,https://rent.591.com.tw/18722304,12,15000,3.8,0.5,0.5238,0.2623,,
竹科12分鐘，近巨城，有陽台，生活機能超棒,東區-自由路,https://rent.591.com.tw/18722906,17,15000,5.4,0.8125,0.5238,0.3934,,
✔近園區清交大寶山路獨立陽台洗衣機,東區-金山東街,https://rent.591.com.tw/18726185,5,12000,4.4,0.0625,0.3810,0.3115,,
全新裝潢套房/可補助/中華大學旁,香山區-五福路二段,https://rent.591.com.tw/18727090,6,7800,9.6,0.125,0.1810,0.7377,,
香山國小附近電梯套房,香山區-東華路79號,https://rent.591.com.tw/18727586,6.9,6800,5.9,0.18125,0.1333,0.4344,,
全新電梯套房，可申請租補,香山區-香檳三街,https://rent.591.com.tw/18728127,6,6500,6.9,0.125,0.1190,0.5164,,
全新電梯套房，可申請租補，公司可報稅,香山區-香檳二街,https://rent.591.com.tw/18728127,6,8000,6.7,0.125,0.1905,0.5000,,
o鄰近中華大學/全新傢俱可租補o,香山區-至善街37巷,https://rent.591.com.tw/18728640,8.6,8500,8.6,0.2875,0.2143,0.6557,,
近巨城．台大．單人套房．含網水．公司租可,東區-民族路,https://rent.591.com.tw/18728646,6,7500,5.2,0.125,0.1667,0.3770,,
新竹市東區關埔<埔頂路近科學園區>優質電梯套房,東區-埔頂路,https://rent.591.com.tw/18729585,8,9000,3.4,0.25,0.2381,0.2295,,
全新獨立洗衣機陽台套房清大交大科學園路,東區-科學園路162巷1弄,https://rent.591.com.tw/18731009,5,10000,3,0.0625,0.2857,0.1967,,
套房出租*近元培大學*,香山區-香村路,https://rent.591.com.tw/18731225,7,6000,10.7,0.1875,0.0952,0.8279,,
新竹市東區近中華路,東區-南外街16號,https://rent.591.com.tw/18731822,7,6500,3.7,0.1875,0.1190,0.2541,,
臺大醫院*舊社溫馨套房出租~湳雅商圈,北區-湳雅街311巷36弄12號,https://rent.591.com.tw/18732161,8,8300,7.5,0.25,0.2048,0.5656,,
近大庄、元培、玄裝稀有樓中樓出租免仲介費,香山區-中華路五段,https://rent.591.com.tw/18732653,9,12000,10.2,0.3125,0.3810,0.7869,,
清大/交大/園區電梯套房出租,東區-光復路一段459巷,https://rent.591.com.tw/18733794,5,7500,3.1,0.0625,0.1667,0.2049,,
清大/交大/園區電梯套房出租,東區-光復路一段459巷,https://rent.591.com.tw/18733794,5,7200,3.1,0.0625,0.1524,0.2049,,
社會住宅可租補-寧靜社區、近學區,北區-磐石路7巷,https://rent.591.com.tw/18735173,6.5,8500,5.1,0.15625,0.2143,0.3689,,
含網mod水．傢俱電．室內機車位,北區-延平路一段,https://rent.591.com.tw/18735698,9,9000,5.3,0.3125,0.2381,0.3852,,
套房．含網mod水．傢俱電．室內機車位,北區-延平路一段,https://rent.591.com.tw/18735698,6,7500,5.3,0.125,0.1667,0.3852,,
兆基社會住宅🏡秒殺可租補免仲!精美獨洗套房,北區-經國路二段,https://rent.591.com.tw/18735803,5.6,9500,5.2,0.1,0.2619,0.3770,,
L竹科-金山街-全新整理獨洗套房,東區-金山二十六街,https://rent.591.com.tw/18736813,6,11500,4.1,0.125,0.3571,0.2869,,
*全新首租*近園區可貓超讚套房,東區-光復路一段,https://rent.591.com.tw/18738032,7,9500,3.1,0.1875,0.2619,0.2049,,
光華商圈精緻套房．獨立陽台．含網水,北區-光華東街,https://rent.591.com.tw/18738496,8,15000,6.4,0.25,0.5238,0.4754,,
方正採光套房．免費洗衣,香山區-莊敬街,https://rent.591.com.tw/18738572,5,6000,8.2,0.0625,0.0952,0.6230,,
新竹香山宮口街24號歐式建築全新房屋唷,香山區-宮口街24號,https://rent.591.com.tw/18739907,6,6000,8.7,0.125,0.0952,0.6639,,
新竹香山宮口街24號歐式建築全新房屋唷,香山區-宮口街24號,https://rent.591.com.tw/18739907,6,6000,8.8,0.125,0.0952,0.6721,,
中華大學套房、近學校、交流道,香山區-柯湳一街,https://rent.591.com.tw/18740135,5,4000,8.6,0.0625,0.0000,0.6557,,
C全新電梯優質套房/獨立洗衣機/首租**,東區-金山二十六街,https://rent.591.com.tw/18740359,6,11500,4.1,0.125,0.3571,0.2869,,
B金山街//全新首租獨洗套房,東區-金山二十六街,https://rent.591.com.tw/18740373,5,10000,4.1,0.0625,0.2857,0.2869,,
B金山街//全新首租獨洗套房,東區-金山二十六街,https://rent.591.com.tw/18740373,7,11500,4.1,0.1875,0.3571,0.2869,,
金山近竹科高cp素美洗衣機套房,東區-金山二十六街,https://rent.591.com.tw/18740492,6,10500,4.1,0.125,0.3095,0.2869,,
C竹科-全新整理台電套房-獨立洗曬,東區-金山二十六街,https://rent.591.com.tw/18740686,6,11000,4.1,0.125,0.3333,0.2869,,
沃盛匯達⭐️玄奘路學生套房,香山區-玄奘路,https://rent.591.com.tw/18741493,8,7000,8.8,0.25,0.1429,0.6721,,
牛埔台玻園區~元培中華學區~學生專案另有優惠,香山區-香村路281號,https://rent.591.com.tw/18742880,5,6500,9,0.0625,0.1190,0.6885,,
關東國小大套房CP值非常高！,東區-關東路,https://rent.591.com.tw/18742952,8,8000,4,0.25,0.1905,0.2787,,
金山街電梯套房*獨立洗衣/大坪數,東區-金山十五街,https://rent.591.com.tw/18743521,8,12500,3.7,0.25,0.4048,0.2541,,
金山街附近套房*獨立洗衣機*近園區,東區-光復路一段89巷,https://rent.591.com.tw/18743808,5.5,7000,4.1,0.09375,0.1429,0.2869,,
市中心舒適寬敞套房,東區-南大路600巷,https://rent.591.com.tw/18745110,7,7500,3.9,0.1875,0.1667,0.2705,,
金山街全新裝潢陽台洗衣機,東區-金山十七街,https://rent.591.com.tw/18746331,7,11000,3.7,0.1875,0.3333,0.2541,,
金山街全新裝潢陽台洗衣機,東區-金山十七街,https://rent.591.com.tw/18746331,7,11000,4.4,0.1875,0.3333,0.3115,,
"近寶雅,好博家交通便利.",北區-經國路二段,https://rent.591.com.tw/18746651,7,7000,5.2,0.1875,0.1429,0.3770,,
可租補近三民國中台大醫院警衛管理電梯大套房,東區-自由路,https://rent.591.com.tw/18746933,7,16000,5.4,0.1875,0.5714,0.3934,,
可租補近竹科可養貓管理垃圾代丟電梯套房,東區-光復路一段,https://rent.591.com.tw/18746983,5,9500,3.1,0.0625,0.2619,0.2049,,
近台積/高品質附車位美套/附陽台獨洗,東區-園區三路2巷,https://rent.591.com.tw/18749245,10,15000,2.7,0.375,0.5238,0.1721,,
🔥春福聯合國🔥園區室內14坪大套房,東區-光復路一段,https://rent.591.com.tw/18749360,17.2,18000,3.1,0.825,0.6667,0.2049,,
近清大交大的大套房,東區-寶山路452巷3弄,https://rent.591.com.tw/18749507,10,11000,0.6,0.375,0.3333,0.0000,,
好口碑!近中華、科園，環境優、高cp值!,香山區-柯湳一街,https://rent.591.com.tw/18749888,6,5000,8.6,0.125,0.0476,0.6557,,
【獨立洗衣機】金山街中段近聯發科獨立洗衣機&電梯大樓套房出租,東區-金山十六街,https://rent.591.com.tw/18750867,6,8000,3.6,0.125,0.1905,0.2459,,
電梯大樓近巨城、火車站,北區-長安街,https://rent.591.com.tw/18751226,6,7000,4.5,0.125,0.1429,0.3197,,
竹科正核心獨立大套房，全室傢具電齊全(整修中，先加賴看照片),東區-金山二十五街,https://rent.591.com.tw/18751642,10,15000,4.1,0.375,0.5238,0.2869,,
三民國小大套房★物業管理★獨立陽台★巨城,東區-自由路,https://rent.591.com.tw/18751803,11.5,15000,5.4,0.46875,0.5238,0.3934,,
⭐️有巢竹北六家嘉興加盟店新竹東區高翠全新完工大套房,東區-高翠路210巷1弄,https://rent.591.com.tw/18753077,8,8400,1.6,0.25,0.2095,0.0820,,
§套房出租§緊臨交大、清大、科學園區,東區-光復路一段683巷1弄,https://rent.591.com.tw/18753869,6,7500,1.8,0.125,0.1667,0.0984,,
🌟有巢六家嘉興加盟店～高翠全開完工大套房,東區-高翠路210巷1弄,https://rent.591.com.tw/18755360,10,15000,1.6,0.375,0.5238,0.0820,,
costco旁~富春居精品套房,東區-埔頂一路,https://rent.591.com.tw/18756752,9,15500,3.5,0.3125,0.5476,0.2377,,
近新竹市政府/北大教堂/大套房,北區-北大路178號,https://rent.591.com.tw/18757039,15,12000,4.9,0.6875,0.3810,0.3525,,
大潤發旁套房．含網四水．室內機車位,東區-東光路,https://rent.591.com.tw/18757175,7,7500,4.6,0.1875,0.1667,0.3279,,
短期議.冷暖空調.自租.電梯,東區-金山六街8巷,https://rent.591.com.tw/18757359,5,9000,3.3,0.0625,0.2381,0.2213,,
🌊明湖路南大路口/獨立洗衣機/獨立陽台,東區-明湖路,https://rent.591.com.tw/18757816,6,8000,4.3,0.125,0.1905,0.3033,,
🌸長春街園區旁便宜套房,東區-長春街26巷,https://rent.591.com.tw/18758343,5,8000,2.9,0.0625,0.1905,0.1885,,
長春街園區旁便宜套房,東區-長春街26巷,https://rent.591.com.tw/18758343,5,8000,2.9,0.0625,0.1905,0.1885,,
高翠路套房出租-採光佳近竹科與清大交大,東區-高翠路277巷2弄,https://rent.591.com.tw/18758416,8,9600,1.9,0.25,0.2667,0.1066,,
初光極品/有電梯/陽台/有管理,北區-境福街,https://rent.591.com.tw/18758464,5.7,12000,6.5,0.10625,0.3810,0.4836,,
安靜--優--獨立套房,東區-高翠路210巷1弄,https://rent.591.com.tw/18759366,15,11000,1.6,0.6875,0.3333,0.0820,,
§近園區全質木地板寬敞優質套房傢電全§,東區-明湖路,https://rent.591.com.tw/18760128,10,13500,4.3,0.375,0.4524,0.3033,,
金山街大坪數電梯套房(房東自租),東區-金山東街,https://rent.591.com.tw/18760464,8,10000,4.4,0.25,0.2857,0.3115,,
『獨立洗衣機、陽台』裝潢套房,東區-長春街5巷4號,https://rent.591.com.tw/18760472,6,9500,2.8,0.125,0.2619,0.1803,,
大學清境獨立優質大套房.月租1.3萬,東區-大學路226號,https://rent.591.com.tw/18760579,10,13000,2.3,0.375,0.4286,0.1393,,
竹科園區光復優質大套房~室內空間大,東區-安和街4巷,https://rent.591.com.tw/18760685,10,10000,3.4,0.375,0.2857,0.2295,,
煙波主人精緻套房出租,東區-柴橋里,https://rent.591.com.tw/18761126,12,12000,6.3,0.5,0.3810,0.4672,,
鬧中取靜x方便近清交大，園區，市中心,東區-寶山路145巷33號,https://rent.591.com.tw/18761621,8,10000,2.5,0.25,0.2857,0.1557,,
鬧中取靜x方便近清交大，園區，市中心,東區-寶山路145巷33號,https://rent.591.com.tw/18761621,5,7500,2.5,0.0625,0.1667,0.1557,,
D老爺推薦x全新幾何大套房x垃圾分類室,東區-金山二十八街15號,https://rent.591.com.tw/18761673,9,10000,4.3,0.3125,0.2857,0.3033,,
金山前段優質套房,東區-金山十一街,https://rent.591.com.tw/18762024,6,6500,3.4,0.125,0.1190,0.2295,,
📍近香山元培單人套房✔️可養乖寵,香山區-芝柏一街,https://rent.591.com.tw/18762981,7,5500,7,0.1875,0.0714,0.5246,,
優質學生套房出租近元培、玄奘,香山區-元培街323巷8號,https://rent.591.com.tw/18763946,4,4500,8.8,0,0.0238,0.6721,,
可租補清大南大校區竹科15分機車位台水電,東區-南大路550巷19弄,https://rent.591.com.tw/18764896,4.5,8200,4,0.03125,0.2000,0.2787,,
光華．小資金店面,北區-光華二街333號,https://rent.591.com.tw/18765134,8,25000,6.9,0.25,1.0000,0.5164,,
近竹科高鐵新!陽台個人洗衣機固定汽車位,東區-公道五,https://rent.591.com.tw/18766945,7.5,10000,4.7,0.21875,0.2857,0.3361,,
屋主自租：近園區近清交大學後門10-13坪有電梯裝潢豪套,東區-明湖路118巷,https://rent.591.com.tw/18767014,10,13000,3.3,0.375,0.4286,0.2213,,
短期議.對內悶熱.金山六街,東區-金山六街8巷,https://rent.591.com.tw/18768671,5.5,8000,3.3,0.09375,0.1905,0.2213,,
園區旁．全新大套房（要租要快！）,東區-光復路一段385巷20號,https://rent.591.com.tw/18769046,7,12000,3.2,0.1875,0.3810,0.2131,,
可租補.近園區.台電計費.獨立陽台,東區-光復路一段,https://rent.591.com.tw/18769270,9,16000,3.1,0.3125,0.5714,0.2049,,
窗台獨立洗衣機電梯小資首選精美套房,香山區-明德路41巷,https://rent.591.com.tw/18769456,7,6500,8.3,0.1875,0.1190,0.6311,,
【小資族首選】民享街近園區&清交大採光佳電梯大樓獨立套房出租,東區-民享街,https://rent.591.com.tw/18770701,6,7500,2.9,0.125,0.1667,0.1885,,
獨立套房-東區明湖路-近竹科園區-1F套,東區-明湖路1050巷,https://rent.591.com.tw/18770710,8.9,7500,4.3,0.30625,0.1667,0.3033,,
【小資族首選】金山街前段近園區電梯大樓採光佳安靜獨立套房出租,東區-金山十一街2巷53弄,https://rent.591.com.tw/18770980,6,7500,3.8,0.125,0.1667,0.2623,,
香北路電梯獨立套房,香山區-香北路,https://rent.591.com.tw/18772540,6,5000,8,0.125,0.0476,0.6066,,
正關新路月影國際會館另外有平面車位可以租,東區-關新路29號,https://rent.591.com.tw/18772851,9.1,12500,3.8,0.31875,0.4048,0.2623,,
中山文華套房附家俱電(MOD),北區-中山路312巷6號,https://rent.591.com.tw/18772979,6,10000,4.5,0.125,0.2857,0.3197,,
舒適套房備有機車汽車停車場,香山區-五福路二段217號,https://rent.591.com.tw/18773410,7,5000,10,0.1875,0.0476,0.7705,,
近巨城電梯大套房．屋況新,東區-民權路200巷,https://rent.591.com.tw/18773451,18,19000,5.6,0.875,0.7143,0.4098,,
巨城旁電梯方正採光套房,東區-民權路200巷,https://rent.591.com.tw/18773457,9,12500,5.6,0.3125,0.4048,0.4098,,
*可養貓*近園區大情侶套房-可租補,東區-中華路三段,https://rent.591.com.tw/18774251,10,13000,4.4,0.375,0.4286,0.3115,,
雙園路近台積裝潢美套/附獨洗/免費停車,東區-園區三路2巷,https://rent.591.com.tw/18774262,7,9000,2.7,0.1875,0.2381,0.1721,,
新竹市北區四季悅舍出租(仲介勿擾),北區-經國路二段160號,https://rent.591.com.tw/18775194,13,18000,5.3,0.5625,0.6667,0.3852,,
兆基社會住宅🏡香山優美套房,香山區-中華路四段,https://rent.591.com.tw/18776135,5.5,8000,6.3,0.09375,0.1905,0.4672,,
精緻電梯小套房/獨立洗衣機,東區-建華街,https://rent.591.com.tw/18777455,5,7500,2.7,0.0625,0.1667,0.1721,,
近園區包水電採光套房/用電吃到飽/全新分離式冷氣,東區-愛民街,https://rent.591.com.tw/18777558,7,8500,2.6,0.1875,0.2143,0.1639,,
8000套房釋出，金山二街38號,東區-金山二街38號,https://rent.591.com.tw/18777969,6,8000,3.6,0.125,0.1905,0.2459,,
大坪數套房（可養貓）,東區-金山二十六街8號,https://rent.591.com.tw/18778425,8,11000,4.3,0.25,0.3333,0.3033,,
北大路靜巷公園旁.陽台，（目前房屋已出租，謝謝）,北區-新民街,https://rent.591.com.tw/18778660,18,21000,4.7,0.875,0.8095,0.3361,,
近園區傢俱家電齊全煙波主人優質獨立套房出租,東區-明湖路451號,https://rent.591.com.tw/18779127,10,14000,4.4,0.375,0.4762,0.3115,,
全新裝潢精美套房/獨立洗衣機/中華大學旁,香山區-五福路二段,https://rent.591.com.tw/18779312,7.3,9500,9.6,0.20625,0.2619,0.7377,,
